timeframe,code,dt,entry_next_open,regime_loose,regime_stack,regime_strong,slope20_3,slope60_3,dist_close_ma20,dist_close_ma60,pb_depth_ma20,above20_streak,upclose_streak,ret_1m,dd_1m,ma60_break_1m,ret_3m,dd_3m,ma60_break_3m,ret_6m,dd_6m,ma60_break_6m
daily,1001,1999-05-07,16983.0,True,True,True,0.005984971604368365,0.009002434139179354,0.010199762740761406,0.08629481756730041,-0.009186343882824848,43,0,-0.0402166872755108,-0.06459400577047636,1.0,0.04957899075546134,-0.06459400577047636,1.0,0.025319437084142967,-0.06459400577047636,1.0
daily,1001,1999-05-10,17003.0,True,True,True,0.006349662749044555,0.00976139528382021,0.010547744616007377,0.08471378004574749,-0.0078096167811522,44,1,-0.031053343527612774,-0.06569428924307476,1.0,0.05681350349938246,-0.06569428924307476,1.0,0.055225548432629536,-0.06569428924307476,1.0
daily,1001,1999-05-11,16782.0,True,True,True,0.003878931935046597,0.009312753113449519,-0.003941282329669676,0.06663806952291255,0.004357719707898925,0,0,-0.013109283756405674,-0.053390537480634014,1.0,0.053807651054701464,-0.053390537480634014,1.0,0.07233941127398404,-0.053390537480634014,1.0
daily,1001,1999-05-12,16952.0,True,True,True,0.002348747235452838,0.009481949039999363,0.007892091850389296,0.07615487519897042,0.0019209839243976422,1,1,-0.019466729589428976,-0.06288343558282208,1.0,0.023949976403964134,-0.06288343558282208,1.0,0.061290703161868805,-0.06288343558282208,1.0
daily,1001,1999-05-13,16899.0,True,True,True,0.0008512006095310225,0.009259180378843665,0.0021945866861741905,0.06678568376271288,0.0013143730559470057,2,0,0.012012545121013078,-0.05994437540682881,1.0,0.01094739333688384,-0.05994437540682881,1.0,0.0857447186224037,-0.05994437540682881,1.0
daily,1001,1999-05-14,16750.0,True,True,True,0.0011898210806549965,0.009323447498935593,-0.0011438418230164742,0.061014096360193525,0.004709063089561329,0,0,0.026746268656716417,-0.05158208955223881,1.0,0.02626865671641791,-0.05158208955223881,1.0,0.09576119402985074,-0.05158208955223881,1.0
daily,1001,1999-05-24,16305.0,True,False,False,-0.003945649645398401,0.006667133362519261,-0.018512918322190135,0.020692003022427394,0.03246572430333289,0,3,0.08788715118061945,-0.02569763876111622,1.0,0.09536951855259122,-0.02569763876111622,1.0,0.11609935602575897,-0.02569763876111622,1.0
daily,1001,1999-06-01,16404.0,True,False,False,-0.0069950469293668235,0.006174904000991003,-0.006163024879238026,0.009990335904270007,0.02930086766910462,0,2,0.08400390148744209,-0.016886125335284077,1.0,0.08845403560107291,-0.016886125335284077,1.0,0.15191416727627408,-0.016886125335284077,1.0
daily,1001,1999-06-02,16418.0,True,False,False,-0.005018472442132291,0.006826297321111106,-0.004761890327997507,0.008220153962838908,0.011612222690361903,0,3,0.0676696308929224,-0.01772444877573395,1.0,0.07601413083201364,-0.01772444877573395,1.0,0.14027287123888416,-0.01772444877573395,1.0
daily,1001,1999-06-03,16237.0,True,False,False,-0.005717672172685145,0.006971422106340445,-0.013070265601907409,-0.005528924969842721,0.019152287752632082,0,0,0.09995688858779331,-0.004187965757221162,1.0,0.08388249060787091,-0.004187965757221162,1.0,0.16487035782472131,-0.004187965757221162,1.0
daily,1001,1999-06-04,16318.0,True,False,False,-0.006066112448704641,0.005844623500372339,-0.006679017160686339,-0.00248766113955073,0.01466214898595935,0,1,0.09890918004657434,0.0,0.0,0.09805123176859909,0.0,1.0,0.15516607427380807,0.0,1.0
daily,1001,1999-06-07,16497.0,True,False,False,-0.00673211866230585,0.005267203622558683,0.005523513076383167,0.006480779118960262,0.004058714028502548,1,2,0.09929078014184398,-0.002849002849002849,0.0,0.0569194398981633,-0.002849002849002849,1.0,0.12493180578286961,-0.002849002849002849,1.0
daily,1001,1999-07-09,17921.0,True,True,True,0.008386437931801716,0.0036026265454618023,0.014805972175861272,0.05727988808484802,-0.00779053255107414,25,0,-0.04079013447910273,-0.04882540036828302,1.0,-0.0013950114390938006,-0.07081078064840132,1.0,0.01378271301824675,-0.07081078064840132,1.0
daily,1001,1999-07-12,18231.0,True,True,True,0.00764417366198544,0.004038913816808157,0.030705712480823114,0.07549684984300709,-0.006396083385976078,26,1,-0.056442323514892215,-0.06532828698370907,1.0,-0.005210904503318524,-0.08661071800778893,1.0,-0.0020843618013274092,-0.08661071800778893,1.0
daily,1001,1999-07-22,17657.0,True,True,True,0.003956296593902139,0.004562853304266268,-0.014545596024833712,0.032460688268303964,0.01815837302756275,0,0,0.012572917256612108,-0.03494364841139491,1.0,-0.02282380925412018,-0.05691793622925752,1.0,0.07022710539729286,-0.05691793622925752,1.0
daily,1001,1999-07-29,17857.0,True,False,False,-3.0572965160676076e-05,0.0022393746037470265,-0.006681786849887751,0.037038326717273765,0.01980076935049923,0,2,-0.01069608556868455,-0.04575236601892815,1.0,-0.01041608332866663,-0.06748053984431876,1.0,0.07022456179649438,-0.06748053984431876,1.0
daily,1001,1999-07-30,17827.0,True,False,False,0.0003837095818956619,0.0022925401364091015,-0.007129257751156941,0.036011867646163084,0.017357588559834346,0,0,-0.012789588825938183,-0.04414651932461996,1.0,-0.024962136085712683,-0.06591125820384809,1.0,0.07752285858529197,-0.06591125820384809,1.0
daily,1001,1999-08-02,17824.0,True,False,False,0.0006510054417378355,0.002525467715071493,-0.00883568080338533,0.033045877089273756,0.014340604651938758,0,0,0.0052737881508079,-0.04398563734290844,1.0,-0.023058797127468583,-0.065754039497307,1.0,0.09032764811490125,-0.065754039497307,1.0
daily,1001,1999-08-03,17913.0,True,False,False,-0.0007560091610523082,0.0023523767517081534,-0.00036716437837950027,0.040394487976222714,0.021061883887046808,0,1,-0.026628705409479148,-0.04873555518338637,1.0,0.0016189359682911852,-0.07039580193155809,1.0,0.09077206498074024,-0.07039580193155809,1.0
daily,1001,1999-08-04,17638.0,True,False,False,-0.001773281265200131,0.002719427228494612,-0.015166491715091513,0.023021108306611342,0.018173616931228636,0,0,0.00929810636126545,-0.033904070756321576,1.0,0.02029708583739653,-0.05590202970858374,1.0,0.10120195033450505,-0.05590202970858374,1.0
daily,1001,1999-08-12,17430.0,True,False,False,-0.008340874769203964,0.0028008776340096944,-0.015539356953155902,0.004001329294225502,0.023563315816240042,0,4,0.01417096959265634,-0.008376362593230062,1.0,0.06523235800344233,-0.04463568559954102,1.0,0.1478485370051635,-0.04463568559954102,1.0
daily,1001,1999-08-13,17499.0,True,False,False,-0.008152425915777896,0.0032366820111509854,-0.012024570470102946,0.0035591285411409614,0.0205811686839839,0,5,0.012114977998742785,-0.004228813075032859,1.0,0.04731698954225956,-0.048402765872335565,1.0,0.12635007714726557,-0.048402765872335565,1.0
daily,1001,1999-08-16,17842.0,True,False,False,-0.006630503698485464,0.0039082184140172855,0.011341136156041409,0.024557343254872945,0.007210897475902131,1,6,0.00375518439636812,-0.02337181930276875,1.0,0.023315771774464745,-0.06669655868176214,1.0,0.09606546351305907,-0.06669655868176214,1.0
daily,1001,1999-08-17,17873.0,True,False,False,-0.0059049556421992425,0.004072404274487802,0.01520534318601677,0.02506806046332769,-0.00986215716924826,2,7,-0.005371230347451463,-0.025065741621440162,1.0,0.018183852738767974,-0.0683153359816483,1.0,0.0835897722822134,-0.0683153359816483,1.0
daily,1001,1999-08-19,17907.0,True,True,False,-0.002518991722502302,0.004595162099923025,0.01690962762417737,0.02290313629649825,-0.004737880864762752,4,0,-0.031551907075445355,-0.04741162673814709,1.0,0.020494778578209638,-0.07008432456581225,1.0,0.10521025297369743,-0.07008432456581225,1.0
daily,1001,1999-08-25,17863.0,True,True,True,0.004687704075548371,0.005417639881139244,0.00918753479591573,0.014167867360134256,-0.005796257725753034,8,0,-0.055533784918546714,-0.06779376364552427,1.0,0.05782903207747859,-0.06779376364552427,1.0,0.09270559256563847,-0.06779376364552427,1.0
daily,1001,1999-08-26,17710.0,True,True,True,0.002000340001133296,0.004444853894423322,-0.0009218257805828017,0.002247577731487645,0.0009218257805828017,0,0,-0.050197628458498025,-0.05974025974025974,1.0,0.057086391869000566,-0.05974025974025974,1.0,0.10508187464709204,-0.05974025974025974,1.0
daily,1001,1999-08-27,17642.0,True,True,False,-0.0005345430787984788,0.0038563372190575447,-0.003973015190274643,-0.002847146479312152,0.0057840762456704735,0,0,-0.01796848429883233,-0.056116086611495294,1.0,0.07210066885840608,-0.056116086611495294,1.0,0.12328534179798209,-0.056116086611495294,1.0
daily,1001,1999-09-08,17707.0,True,False,False,0.004241562794062336,0.001349230957145999,-0.007203556756148349,-0.006836525776310732,0.014632224660926332,0,0,0.020048568362794374,-0.05958095668379737,1.0,0.03919353927825154,-0.05958095668379737,1.0,0.11628169650420737,-0.05958095668379737,1.0
daily,1001,1999-09-09,17648.0,True,False,False,0.0033573615088377602,0.0012630673473144774,-0.005890871258453189,-0.005245668548404521,0.005890871258453189,0,1,0.025045330915684498,-0.05643699002719855,1.0,0.03467815049864007,-0.05643699002719855,1.0,0.11412058023572076,-0.05643699002719855,1.0
daily,1001,1999-09-10,17735.0,True,False,False,0.0027074235807859853,0.0010015140038314443,-0.004751187796949196,-0.003557584293368504,0.011606834292842833,0,2,0.0010713278827177897,-0.06106568931491401,1.0,0.030222723428249224,-0.06106568931491401,1.0,0.11361714124612349,-0.06106568931491401,1.0
daily,1001,1999-09-13,17880.0,True,False,False,0.0017277280657324963,0.0011128355161548675,0.006140552930667329,0.007130726231849786,0.003634892722911101,1,3,-0.005592841163310962,-0.06868008948545862,1.0,0.018176733780760627,-0.06868008948545862,1.0,0.0732102908277405,-0.06868008948545862,1.0
daily,1001,1999-09-14,17703.0,True,False,False,0.0007760765953856776,0.0007109273662953684,-0.001042395430318213,-0.00032896864113449447,0.010426763994369339,0,0,-0.005761735299101847,-0.05936846862113766,1.0,0.02609727164887307,-0.05936846862113766,1.0,0.08122917019714172,-0.05936846862113766,1.0
daily,1001,1999-10-26,17655.0,True,False,False,0.004952777825218178,-0.00014458418815974222,0.0010253272833358,0.0020849597468560067,0.004242928923859618,2,2,0.06037949589351459,-0.016709147550269046,1.0,0.08246955536675163,-0.016709147550269046,1.0,0.033814783347493625,-0.016709147550269046,1.0
daily,1001,1999-10-27,17403.0,True,False,False,0.004791836804379849,-0.0005745698050338192,-0.015504863854551633,-0.013857173250124104,0.016750916840122906,0,0,0.08682411078549675,0.0,1.0,0.10377521117048785,0.0,1.0,0.061885881744526805,0.0,1.0
