code,origin_gidx,signal_gidx,lag_days,p60v_strong
1878,174042,174045,3,False
1878,174290,174290,0,False
1878,174297,174297,0,False
1878,174305,174313,8,False
1878,174374,174384,10,False
1878,174537,174537,0,False
1878,174566,174572,6,False
1878,174589,174589,0,False
1878,174627,174635,8,False
1878,174702,174709,7,False
1878,174858,174867,9,False
1878,175074,175080,6,False
1878,175093,175093,0,False
1878,175145,175147,2,False
1878,175294,175301,7,False
1878,175343,175343,0,False
1878,175411,175413,2,False
1878,175435,175435,0,False
1878,175796,175797,1,False
1878,175901,175907,6,False
1878,176065,176065,0,False
1878,176068,176077,9,False
1878,176088,176088,0,True
1878,176247,176256,9,False
1878,176270,176270,0,True
1878,176735,176741,6,False
1878,177119,177127,8,False
1878,177140,177140,0,False
1878,177233,177242,9,False
1878,177279,177282,3,False
1878,177303,177303,0,False
1878,177431,177437,6,False
1878,177634,177643,9,False
1885,178084,178090,6,False
1885,178260,178260,0,False
1885,179053,179055,2,False
1885,179318,179323,5,False
1885,179470,179471,1,False
1885,179726,179736,10,False
1885,179991,179999,8,False
1885,180059,180066,7,False
1885,180082,180086,4,False
1885,180342,180346,4,False
1885,180595,180603,8,False
1885,181393,181394,1,False
1885,181650,181660,10,False
1885,182260,182268,8,False
1885,183275,183279,4,False
1885,183441,183448,7,False
1885,184205,184209,4,False
1885,184419,184419,0,False
1885,184422,184422,0,False
1885,184441,184442,1,False
1885,184456,184458,2,False
1885,184608,184617,9,False
1885,184624,184624,0,False
1885,184939,184940,1,False
1885,185021,185021,0,False
1885,185322,185322,0,False
1885,185484,185490,6,False
1885,185495,185495,0,False
1893,187184,187188,4,False
1893,187194,187194,0,False
1893,187295,187296,1,False
1893,188581,188586,5,False
1893,188766,188770,4,False
1893,189046,189048,2,False
1893,189171,189172,1,False
1893,189175,189177,2,False
1893,189236,189239,3,False
1893,189653,189659,6,False
1893,189682,189682,0,False
1893,189867,189869,2,False
1893,190166,190169,3,False
1893,190303,190303,0,False
1893,190403,190408,5,False
1893,190609,190614,5,False
1893,190703,190706,3,False
1893,190753,190756,3,False
1893,190768,190768,0,False
1893,190770,190770,0,False
1893,190786,190788,2,False
1893,190796,190797,1,False
1893,190988,190994,6,False
1893,190998,190998,0,False
1893,192049,192049,0,False
1893,192447,192447,0,False
1893,192515,192515,0,False
1893,192518,192518,0,False
1893,192524,192525,1,False
1893,192532,192532,0,False
1893,192629,192636,7,False
1893,193027,193031,4,False
1893,193092,193093,1,False
1893,193132,193136,4,False
1898,193622,193624,2,False
1898,193733,193733,0,False
1898,194357,194358,1,False
1898,195261,195270,9,False
1898,195498,195508,10,False
1898,195654,195656,2,False
1898,195715,195717,2,False
1898,196142,196143,1,False
1898,196167,196167,0,False
1898,197448,197448,0,False
1898,197494,197495,1,False
1898,198393,198393,0,False
1898,198527,198533,6,False
1898,198882,198885,3,False
1898,198998,199002,4,False
1898,199037,199038,1,False
1898,199156,199158,2,False
1898,199799,199799,0,False
1898,200318,200321,3,False
1898,200371,200371,0,False
1898,200377,200377,0,False
1898,200379,200381,2,False
1898,200399,200403,4,False
1898,200652,200652,0,False
1911,201340,201340,0,False
1911,201397,201399,2,False
1911,201437,201444,7,False
1911,201605,201610,5,False
1911,201702,201702,0,False
1911,201709,201718,9,True
1911,201725,201726,1,False
1911,202360,202361,1,False
1911,202590,202591,1,False
1911,202820,202826,6,False
1911,202843,202844,1,False
1911,203023,203026,3,False
1911,203453,203453,0,False
1911,203461,203461,0,True
1911,203465,203473,8,True
1911,203749,203751,2,False
1911,204179,204182,3,False
1911,204194,204194,0,True
1911,204198,204198,0,False
1911,204205,204208,3,False
1911,204217,204218,1,False
1911,204592,204592,0,True
1911,204702,204711,9,False
1911,204853,204853,0,False
1911,205571,205571,0,False
1911,205646,205647,1,False
1911,205782,205787,5,False
1911,205795,205796,1,False
1911,206291,206298,7,False
1911,206533,206538,5,False
1911,207053,207060,7,False
1911,207075,207076,1,False
1911,207391,207397,6,False
1911,207502,207504,2,False
1911,207513,207515,2,False
1911,207589,207596,7,False
1911,207663,207673,10,False
1911,208057,208060,3,False
1911,208072,208072,0,False
1911,208438,208440,2,False
1911,208481,208490,9,False
1911,208735,208736,1,False
1911,208800,208805,5,False
1925,208947,208947,0,False
1925,209226,209230,4,False
1925,209355,209355,0,False
1925,209377,209377,0,False
1925,209471,209477,6,False
1925,209683,209683,0,True
1925,209687,209688,1,False
1925,209911,209915,4,False
1925,209991,209991,0,False
1925,210356,210361,5,False
1925,210366,210366,0,False
1925,210375,210381,6,False
1925,210503,210508,5,False
1925,210511,210511,0,False
1925,210837,210837,0,False
1925,211029,211032,3,False
1925,211085,211086,1,False
1925,211630,211631,1,False
1925,211763,211764,1,False
1925,211981,211981,0,True
1925,211995,211996,1,False
1925,212001,212003,2,False
1925,212598,212602,4,False
1925,212729,212739,10,False
1925,213001,213006,5,False
1925,213163,213163,0,False
1925,213698,213698,0,False
1925,213840,213843,3,False
1925,213951,213951,0,False
1925,214065,214065,0,False
1925,214143,214143,0,False
1925,214282,214282,0,False
1925,214488,214496,8,False
1925,214581,214589,8,False
1925,214915,214915,0,False
1925,215266,215266,0,True
1925,215435,215443,8,False
1925,215464,215468,4,False
1925,215475,215477,2,False
1925,215479,215479,0,False
