cnt_60_above,n,rev5_drop3,rev10_drop5,down20_ge10,avg_ret20
148,9,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.04375978011777902
149,13,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.011097130989711598
150,13,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.03306035705795523
151,13,0.46153846153846156,0.38461538461538464,0.23076923076923078,0.04006151300395745
152,13,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.0804791066223013
153,10,0.4,0.3,0.1,0.051648124779352066
154,12,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.05029593084205445
155,9,0.2222222222222222,0.0,0.0,0.07719305531286107
156,12,0.25,0.16666666666666666,0.0,0.07618605950513081
157,11,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.08549497283709388
158,8,0.5,0.5,0.25,0.06575399121978705
159,11,0.5454545454545454,0.36363636363636365,0.09090909090909091,0.07505941469328559
160,10,0.3,0.3,0.1,0.08759173068527201
161,9,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.09691171101699904
162,8,0.25,0.25,0.125,0.08697071459769959
163,6,0.16666666666666666,0.0,0.0,0.13508730322688187
164,5,0.0,0.0,0.0,0.11801711530758716
165,5,0.2,0.2,0.2,0.11217073364306236
166,5,0.0,0.0,0.0,0.12483808421635634
167,5,0.0,0.2,0.0,0.10403237800873591
168,6,0.16666666666666666,0.16666666666666666,0.0,0.13843561838139432
169,5,0.0,0.0,0.0,0.1030469090303375
170,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.01667357867932967
171,4,0.25,0.25,0.25,0.0309395885271794
172,5,0.2,0.2,0.2,0.036097363516869964
173,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.036579625023032934
174,5,0.4,0.2,0.2,0.04388117725849276
175,6,0.3333333333333333,0.3333333333333333,0.0,0.10376302475037906
176,5,0.2,0.4,0.0,0.10664734224991342
177,7,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.13103787756453608
178,6,0.5,0.3333333333333333,0.16666666666666666,0.1105530810433244
179,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.07083382198893977
180,1,0.0,0.0,0.0,0.153822249844624
181,2,1.0,0.5,0.5,0.06826609358811608
182,2,0.5,0.5,0.5,0.05678516615863405
183,2,0.5,0.5,0.5,0.04540745881907815
184,1,0.0,0.0,0.0,0.07934212904391824
185,1,0.0,0.0,0.0,0.0711490572749911
186,2,0.0,0.0,0.0,0.14729014602478496
187,2,0.0,1.0,0.0,0.09966513925972331
188,1,1.0,1.0,0.0,0.25423250564334077
189,1,1.0,1.0,0.0,0.19552914544425581
