direction,code,signal_month_text,signal_date_text,entry_month_text,entry_price,tp_price,exit_price,exit_rule,ret_net_assumed,p_abs_big,p_side_big,p_side20,abs_gate,side_gate,target20_gate,model_version
down,6754,2001-11,2001-11-30,2001-12,1246.0,996.8,996.8,tp20,0.1999999999999999,0.396184597434471,0.3014543695476198,0.0835231026644148,0.32,0.3,0.08,20260214053343_m1
down,6857,2001-11,2001-11-30,2001-12,982.5,786.0,927.5,month_close,0.0559796437659033,0.4560352422395629,0.3281918827737888,0.085127353457985,0.32,0.3,0.08,20260214053343_m1
down,7013,2001-11,2001-11-30,2001-12,267.142852783203,213.71428222656243,291.428588867188,month_close,-0.0909091739904935,0.6565451925588408,0.3003363162196837,0.0834560194647387,0.32,0.3,0.08,20260214053343_m1
down,7202,2001-11,2001-11-30,2001-12,182.0,145.6,145.6,tp20,0.2,0.7254959026311694,0.3376288512150346,0.0856935715644597,0.32,0.3,0.08,20260214053343_m1
down,7717,2001-11,2001-11-30,2001-12,670.0,536.0,900.0,month_close,-0.3432835820895522,0.6096739017758841,0.3832581233343646,0.0884313278916195,0.32,0.3,0.08,20260214053343_m1
down,8585,2001-11,2001-11-30,2001-12,3160.0,2528.0,2528.0,tp20,0.2,0.5993868025086824,0.4058361613694727,0.089786010173726,0.32,0.3,0.08,20260214053343_m1
down,9983,2001-11,2001-11-30,2001-12,2035.0,1628.0,1943.33337402344,month_close,0.0450450250499066,0.4760473384617963,0.3166747773714227,0.084436327133843,0.32,0.3,0.08,20260214053343_m1
up,1861,2001-11,2001-11-30,2001-12,312.5,375.0,250.0,month_close,-0.1999999999999999,0.474736803541654,0.3654410046572098,0.1499419745793671,0.15,0.3,0.14,20260214053343_m1
up,1929,2001-11,2001-11-30,2001-12,1124.0,1348.8,1068.0,month_close,-0.0498220640569394,0.4605188171186605,0.3009327756650955,0.1460714808398402,0.15,0.3,0.14,20260214053343_m1
up,4091,2001-11,2001-11-30,2001-12,311.0,373.2,337.0,month_close,0.0836012861736335,0.4798025218745874,0.317484480511713,0.1470645831306372,0.15,0.3,0.14,20260214053343_m1
up,4293,2001-11,2001-11-30,2001-12,34.5,41.4,41.4,tp20,0.1999999999999999,0.6389163399192671,0.3696308101570146,0.1501933629093553,0.15,0.3,0.14,20260214053343_m1
up,4324,2001-11,2001-11-30,2001-12,2350.0,2820.0,2820.0,tp20,0.1999999999999999,0.6953122088031595,0.310623401258823,0.1466529183754638,0.15,0.3,0.14,20260214053343_m1
up,4680,2001-11,2001-11-30,2001-12,216.66667175293,260.000006103516,196.66667175293,month_close,-0.0923076901407635,0.5476482676446364,0.3993015932848729,0.1519736098970268,0.15,0.3,0.14,20260214053343_m1
up,4784,2001-11,2001-11-30,2001-12,205.0,246.0,140.0,month_close,-0.3170731707317072,0.6708571352584577,0.3686309068037501,0.1501333687081595,0.15,0.3,0.14,20260214053343_m1
up,5233,2001-11,2001-11-30,2001-12,1910.0,2292.0,1990.0,month_close,0.0418848167539267,0.5711432187556142,0.3519483927321587,0.149132417863864,0.15,0.3,0.14,20260214053343_m1
up,5285,2001-11,2001-11-30,2001-12,106.0,127.2,100.0,month_close,-0.0566037735849056,0.4652368682290684,0.3834550831562655,0.1510228192893104,0.15,0.3,0.14,20260214053343_m1
up,5445,2001-11,2001-11-30,2001-12,940.0,1128.0,770.0,month_close,-0.1808510638297872,0.6219278068045311,0.3567291065854287,0.1494192606950602,0.15,0.3,0.14,20260214053343_m1
up,5727,2001-11,2001-11-30,2001-12,323.5,388.2,305.0,month_close,-0.0571870170015456,0.4385371744289206,0.3080420427685372,0.1464980368660467,0.15,0.3,0.14,20260214053343_m1
up,6417,2001-11,2001-11-30,2001-12,730.0,876.0,796.0,month_close,0.0904109589041095,0.4502383431450311,0.3174889234707902,0.1470648497081819,0.15,0.3,0.14,20260214053343_m1
up,6890,2001-11,2001-11-30,2001-12,1100.0,1320.0,1070.0,month_close,-0.0272727272727272,0.4921123204437764,0.3221245402373878,0.1473429867141777,0.15,0.3,0.14,20260214053343_m1
up,7013,2001-11,2001-11-30,2001-12,267.142852783203,320.5714233398436,291.428588867188,month_close,0.0909091739904934,0.6565451925588408,0.356208876339157,0.1493880468802839,0.15,0.3,0.14,20260214053343_m1
up,7202,2001-11,2001-11-30,2001-12,182.0,218.4,144.0,month_close,-0.2087912087912088,0.7254959026311694,0.3878670514161347,0.1512875373849025,0.15,0.3,0.14,20260214053343_m1
up,7713,2001-11,2001-11-30,2001-12,640.0,768.0,550.0,month_close,-0.140625,0.5410545241540281,0.3336282076552389,0.1480332067592488,0.15,0.3,0.14,20260214053343_m1
up,7867,2001-11,2001-11-30,2001-12,962.5,1155.0,860.0,month_close,-0.1064935064935065,0.4918764493556587,0.326130219350085,0.1475833274609396,0.15,0.3,0.14,20260214053343_m1
up,8002,2001-11,2001-11-30,2001-12,105.0,126.0,79.0,month_close,-0.2476190476190476,0.5286494415741205,0.3209005410843232,0.1472695467649938,0.15,0.3,0.14,20260214053343_m1
down,5202,2001-12,2001-12-28,2002-01,4140.0,3312.0,3840.0,month_close,0.072463768115942,0.5517677801365461,0.3004378801192969,0.0834621132987155,0.32,0.3,0.08,20260214053343_m1
down,6146,2001-12,2001-12-28,2002-01,2066.66674804688,1653.333398437504,1983.33337402344,month_close,0.0403225987461185,0.4588282275212364,0.3038704812012118,0.0836680693636303,0.32,0.3,0.08,20260214053343_m1
down,6703,2001-12,2001-12-28,2002-01,4300.0,3440.0,3440.0,tp20,0.2,0.4983472470173046,0.3622955644572628,0.0871735743589934,0.32,0.3,0.08,20260214053343_m1
down,6997,2001-12,2001-12-28,2002-01,4090.0,3272.0,4080.0,month_close,0.0024449877750611,0.4631783665906828,0.3521908715254066,0.086567292783082,0.32,0.3,0.08,20260214053343_m1
down,7282,2001-12,2001-12-28,2002-01,1620.0,1296.0,1302.0,month_close,0.1962962962962963,0.4246724912084774,0.3165883798331889,0.084431143281549,0.32,0.3,0.08,20260214053343_m1
up,1861,2001-12,2001-12-28,2002-01,250.0,300.0,300.0,tp20,0.1999999999999999,0.6207194333318343,0.4003970522725563,0.1520393374362878,0.15,0.3,0.14,20260214053343_m1
up,1898,2001-12,2001-12-28,2002-01,365.0,438.0,365.0,month_close,0.0,0.6711894789097106,0.4474937087191922,0.154865136823086,0.15,0.3,0.14,20260214053343_m1
up,1929,2001-12,2001-12-28,2002-01,1068.0,1281.6,1196.0,month_close,0.1198501872659176,0.7077874742609537,0.4898457341451446,0.1574062583486431,0.15,0.3,0.14,20260214053343_m1
up,4182,2001-12,2001-12-28,2002-01,366.0,439.2,396.0,month_close,0.0819672131147541,0.4465182386134187,0.3703804144157834,0.1502383391648815,0.15,0.3,0.14,20260214053343_m1
up,4208,2001-12,2001-12-28,2002-01,1290.0,1548.0,1250.0,month_close,-0.0310077519379845,0.4566711989436399,0.3302730079887967,0.1478318947792622,0.15,0.3,0.14,20260214053343_m1
up,4293,2001-12,2001-12-28,2002-01,50.0000038146973,60.00000457763676,60.00000457763676,tp20,0.1999999999999999,0.5407207341215347,0.4065708356156001,0.1524097644368705,0.15,0.3,0.14,20260214053343_m1
up,4366,2001-12,2001-12-28,2002-01,144.66667175293,173.600006103516,140.0,month_close,-0.0322580985404848,0.4330352018699684,0.3187145447681516,0.1471383869860235,0.15,0.3,0.14,20260214053343_m1
up,4680,2001-12,2001-12-28,2002-01,196.66667175293,236.000006103516,220.0,month_close,0.1186440388658398,0.4739212263646147,0.3189278323771023,0.1471511842425606,0.15,0.3,0.14,20260214053343_m1
up,4784,2001-12,2001-12-28,2002-01,140.0,168.0,168.0,tp20,0.1999999999999999,0.5198694234891369,0.4069336651086987,0.1524315342064564,0.15,0.3,0.14,20260214053343_m1
