rule,n,hit10,lift,avg_ret20,win20
pdown>=0.55 & pturndown>=0.62,12886,0.6941642092193078,3.8431776193857052,0.017379025205051083,0.6160173832065808
cnt60>=40 & pdown>=0.55 & pturndown>=0.60,1664,0.6929086538461539,3.8362263501529807,-0.011029716119535857,0.5979567307692307
cnt60>=50 & pdown>=0.55 & pturndown>=0.62,998,0.6843687374749499,3.7889458723735974,-0.02950266677276797,0.5981963927855711
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.55 & pturndown>=0.58,1249,0.6797437950360288,3.7633402951396477,0.008566791086556455,0.6164931945556446
cnt60>=40 & pdown>=0.55 & pturndown>=0.58,1780,0.6747191011235955,3.7355215298791262,-0.012463074916416989,0.5921348314606741
pdown>=0.52 & pturndown>=0.62,14732,0.6676622318761879,3.6964518089191976,0.013431473805963677,0.6020228074938908
cnt60>=50 & pdown>=0.55 & pturndown>=0.60,1075,0.6632558139534884,3.672056072986306,-0.03313080175482449,0.5916279069767442
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.55 & pturndown>=0.55,1308,0.6628440366972477,3.669776305296848,0.007911210093880225,0.6085626911314985
cnt60>=40 & pdown>=0.55 & pturndown>=0.55,1903,0.6584340514976353,3.645360819456641,-0.010590160888502027,0.5901208617971624
pdown>=0.55 & pturndown>=0.60,14656,0.6563864628820961,3.6340245295176947,0.01346675662166579,0.6047352620087336
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.52 & pturndown>=0.62,1454,0.6526822558459422,3.6135165209084232,0.002624946333277759,0.5990371389270976
cnt60>=40 & pdown>=0.52 & pturndown>=0.62,2093,0.641662685140946,3.5525076602581334,-0.010664662090880768,0.5742952699474438
cnt60>=50 & pdown>=0.55 & pturndown>=0.58,1150,0.6373913043478261,3.528859545230056,-0.035976007540041495,0.58
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.55 & pturndown>=0.50,1420,0.6316901408450705,3.4972955670138774,0.0078204081035459,0.606338028169014
pdown>=0.55 & pturndown>=0.58,16274,0.627749784933022,3.4754801414236844,0.012134559396615771,0.5986850190487895
pdown>=0.52 & pturndown>=0.60,17094,0.6275886275886275,3.474587908302255,0.009697727768869633,0.5908505908505909
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.52 & pturndown>=0.60,1640,0.6268292682926829,3.470383783957485,0.002532060634836038,0.5926829268292683
cnt60>=40 & pdown>=0.52 & pturndown>=0.60,2338,0.621043627031651,3.4383521022417143,-0.01147073035088901,0.5731394354148845
cnt60>=50 & pdown>=0.55 & pturndown>=0.55,1217,0.6162695152013147,3.4119206621082223,-0.03491469703600081,0.57189811010682
cnt60>=60 & pdown>=0.60 & pturndown>=0.62,112,0.6160714285714286,3.4108239733239736,-0.1303111948109736,0.4642857142857143
cnt60>=40 & pdown>=0.55 & pturndown>=0.50,2147,0.6138798323241733,3.398690398103128,-0.007803891180960547,0.5873311597578016
cnt60>=60 & pdown>=0.60 & pturndown>=0.60,115,0.6086956521739131,3.369988651652168,-0.1249852812909359,0.4782608695652174
cnt60>=60 & pdown>=0.58 & pturndown>=0.62,194,0.6082474226804123,3.367507069434456,-0.10603297529258178,0.5257731958762887
pdown>=0.55 & pturndown>=0.55,17813,0.6062426317857744,3.356407725222392,0.012255585336498578,0.5979902318531409
cnt60>=50 & pdown>=0.52 & pturndown>=0.62,1496,0.6056149732620321,3.35293275034033,-0.02468293671522708,0.5648395721925134
cnt60>=60 & pdown>=0.60 & pturndown>=0.50,119,0.6050420168067226,3.349760628533007,-0.11851719670502356,0.4789915966386555
