code,signal_dt,entry_dt,window,box_max_pct,box_low,box_high,box_pct,ma20_signal,ma60_signal,entry_price,hz3_box_break_hit,hz3_ma60_break_hit,hz3_ret_close,hz3_ret_best,hz3_ret_worst,hz3_ret_to_box_break,hz3_months_to_box_break,hz6_box_break_hit,hz6_ma60_break_hit,hz6_ret_close,hz6_ret_best,hz6_ret_worst,hz6_ret_to_box_break,hz6_months_to_box_break,hz12_box_break_hit,hz12_ma60_break_hit,hz12_ret_close,hz12_ret_best,hz12_ret_worst,hz12_ret_to_box_break,hz12_months_to_box_break
2331,2021-10-01,2021-11-01,6,0.2,961.0,1064.0,0.1017283950617284,1015.1,1024.5,985.0,0,0,-0.15634517766497463,0.04568527918781726,-0.1817258883248731,,,0,0,-0.2649746192893401,0.04568527918781726,-0.2934010152284264,,,0,0,-0.2467005076142132,0.04568527918781726,-0.29949238578680204,,
2331,2024-01-01,2024-02-01,6,0.2,785.200012207031,953.600036621094,0.19369682503466362,785.6000061035156,927.8833353678385,788.0,0,0,0.1137056302298147,0.12119289340101523,-0.02385785252914845,,,1,1,0.2294416088743261,0.2563451776649746,-0.02385785252914845,0.20101525940870935,4.0,1,1,0.3236040609137056,0.45685279187817257,-0.02385785252914845,0.20101525940870935,4.0
2411,2017-10-01,2017-11-01,6,0.2,549.0,592.0,0.07537248028045573,553.3,597.9666666666667,552.0,0,0,0.02355072463768116,0.041666666666666664,-0.021739130434782608,,,0,0,-0.02355072463768116,0.041666666666666664,-0.07065217391304347,,,0,0,-0.10869565217391304,0.041666666666666664,-0.1213768115942029,,
2501,2022-03-01,2022-04-01,6,0.2,426.399993896484,519.400024414063,0.19665897381499745,434.64000091552725,499.46667124430337,460.800018310547,1,1,0.30642355919850267,0.37586800088347294,-0.014756983594484694,0.17187495343387282,1.0,1,1,0.3802082784887836,0.3910589725020602,-0.014756983594484694,0.17187495343387282,1.0,1,1,0.47786452460827294,0.6145832691755582,-0.014756983594484694,0.17187495343387282,1.0
2502,2011-01-01,2011-02-01,6,0.2,505.333343505859,563.0,0.10795629818105508,535.3500228881837,565.5222427368166,512.666687011719,0,0,-0.016254895660247005,0.0461638870075012,-0.15604680785153355,,,0,0,0.06111829339042811,0.08062414437186981,-0.15604680785153355,,,1,1,0.09557866980906429,0.1345903717719477,-0.15604680785153355,0.10338101020164098,10.0
2502,2011-02-01,2011-03-01,6,0.2,505.333343505859,563.0,0.10795629818105508,538.5000244140626,565.5389094034832,525.666687011719,0,0,0.004438768987902414,0.01838938485273173,-0.17691819226491462,,,0,0,0.006341115141288592,0.06087507690835772,-0.17691819226491462,,,1,1,0.127457192276874,0.1572606540499228,-0.17691819226491462,0.07609384613544715,9.0
2503,2022-12-01,2023-01-01,6,0.2,2006.0,2305.5,0.13893076655456338,2038.4,2292.875,1980.5,0,0,0.05831860641252209,0.0684170663973744,-0.03786922494319616,,,0,0,0.06109568290835648,0.1335521332996718,-0.03786922494319616,,,0,0,0.04317091643524362,0.1335521332996718,-0.03786922494319616,,
2503,2023-01-01,2023-02-01,6,0.2,1905.5,2305.5,0.189978627404417,2027.775,2280.8416666666667,2006.0,0,0,0.1011964107676969,0.11914257228315055,-0.011465603190428714,,,0,0,0.04810568295114656,0.11914257228315055,-0.011465603190428714,,,0,0,0.058325024925224324,0.11914257228315055,-0.011465603190428714,,
2503,2023-08-01,2023-09-01,6,0.2,1983.0,2245.0,0.1239356669820246,2067.45,2186.2916666666665,2053.0,0,0,0.016561130053580127,0.07622990745250853,-0.0034096444227959084,,,0,0,0.015343399902581588,0.07744763760350706,-0.0034096444227959084,,,1,1,0.07282026302971262,0.1227471992206527,-0.07647345348270823,0.12055528494885534,8.0
2503,2024-03-01,2024-04-01,6,0.2,2026.5,2212.0,0.0875309661436829,2111.525,2125.9,2105.5,1,1,-0.01543576347660888,0.09475184041795298,-0.027784374257895986,0.0926145808596533,1.0,1,1,0.03823319876513892,0.09475184041795298,-0.0995013061030634,0.0926145808596533,1.0,1,1,-0.01329850391830919,0.09712657326050819,-0.0995013061030634,0.0926145808596533,1.0
2510,2023-08-01,2023-09-01,6,0.2,932.200012207031,973.0,0.04283013597685763,956.84501953125,988.4016733805339,937.0,0,0,-0.010031977992429053,0.010672358591248666,-0.030736379715014917,,,0,0,-0.005763034555929586,0.010672358591248666,-0.030736379715014917,,,0,0,-0.025400200419390583,0.010672358591248666,-0.03970118698722628,,
2510,2023-09-01,2023-10-01,6,0.2,925.0,973.0,0.0505795574288725,953.7900207519531,987.3200073242188,924.0,0,0,0.00974025974025974,0.0183982683982684,-0.017099553888494563,,,0,0,0.0021645021645021645,0.02002164502164502,-0.017099553888494563,,,0,0,-0.012662350873410198,0.02922077922077922,-0.026190489401548726,,
2510,2024-12-01,2025-01-01,6,0.2,896.0,951.0,0.05955603681645912,922.1500152587893,962.7450103759767,901.100036621094,0,0,-0.026745128888756076,0.002552422261121387,-0.03762071139313211,,,0,0,-0.026856077265045047,0.01797797193818888,-0.043169484888635215,,,0,0,-0.07091335236615072,0.01797797193818888,-0.07113531685278088,,
2510,2025-01-01,2025-02-01,6,0.2,890.5,951.0,0.06570730382840076,919.4950134277345,960.82834370931,894.600036621094,0,0,-0.01151357970767395,0.009613207281344599,-0.03062823976349576,,,0,0,-0.0315224804970303,0.025374413416763046,-0.03800581109790478,,,0,0,-0.07332889999520394,0.025374413416763046,-0.08171253479621234,,
2510,2025-02-01,2025-03-01,6,0.2,879.700012207031,951.0,0.07789368800736729,915.5650115966797,958.47834370931,885.600036621094,0,0,-0.016711888229581494,0.035794884666923175,-0.026422790702835878,,,0,0,-0.02518072256772741,0.035794884666923175,-0.02890699589260181,,,0,0,-0.05894310077740536,0.035794884666923175,-0.07238034549508417,,
2700,2022-01-01,2022-02-01,6,0.2,701.0,763.0,0.08469945355191257,702.75,711.4333333333333,705.0,1,1,0.26099290780141843,0.40709219858156026,-0.00425531914893617,0.09929078014184398,2.0,1,1,0.40709219858156026,0.7957446808510639,-0.00425531914893617,0.09929078014184398,2.0,1,1,0.16312056737588654,0.7957446808510639,-0.00425531914893617,0.09929078014184398,2.0
2700,2022-02-01,2022-03-01,6,0.2,701.0,763.0,0.08469945355191257,704.7,712.85,714.0,1,1,0.2815126050420168,0.38935574229691877,-0.0014005602240896359,0.08543417366946779,1.0,1,1,0.3585434173669468,0.773109243697479,-0.0014005602240896359,0.08543417366946779,1.0,1,1,0.11064425770308123,0.773109243697479,-0.0014005602240896359,0.08543417366946779,1.0
2782,2021-10-01,2021-11-01,6,0.2,3655.0,4370.0,0.1781931464174455,3868.75,4222.383333333333,3550.0,0,0,-0.1876056338028169,0.03380281690140845,-0.22140845070422535,,,0,0,-0.28112676056338026,0.03380281690140845,-0.3092957746478873,,,0,0,-0.3149295774647887,0.03380281690140845,-0.387887323943662,,
2801,2003-05-01,2003-06-01,6,0.2,147.400009155273,170.0,0.1424069955440424,149.5300025939942,156.06000277201332,154.800003051758,0,1,-0.04392766742701163,0.04909564569565226,-0.04392766742701163,,,0,1,-0.06330751200619383,0.04909564569565226,-0.11240305913086605,,,1,1,0.12919896386121466,0.1640826446753453,-0.11240305913086605,0.11886300732392018,10.0
2801,2003-08-01,2003-09-01,6,0.2,147.400009155273,162.600006103516,0.09806449161335672,150.80000305175787,156.6100028991699,148.0,0,0,-0.02027027027027027,0.04054054054054054,-0.07162155976166884,,,1,1,0.12162162162162163,0.12162162162162163,-0.07162155976166884,0.12162162162162163,6.0,1,1,0.2986486280286621,0.32162166286159455,-0.07162155976166884,0.12162162162162163,6.0
2801,2003-09-01,2003-10-01,6,0.2,145.199996948242,162.400009155273,0.11183362721548708,151.18000259399415,156.75666936238605,145.800003051758,0,0,0.045267530626676614,0.056241404503476214,-0.05761312565612951,,,1,1,0.1879286236143436,0.21947873340331972,-0.05761312565612951,0.1385459295297211,5.0,1,1,0.33196154241027215,0.3689986414654556,-0.05761312565612951,0.1385459295297211,5.0
2802,2003-04-01,2003-05-01,6,0.2,589.0,648.5,0.09616161616161616,625.975,627.525,604.5,0,0,-0.045492142266335814,0.04052936311000827,-0.06451612903225806,,,0,0,-0.08188585607940446,0.04052936311000827,-0.10421836228287841,,,1,1,0.06782464846980976,0.13316790736145576,-0.10421836228287841,0.06782464846980976,12.0
2802,2011-10-01,2011-11-01,6,0.2,430.0,507.0,0.16435432230522945,436.2,508.4166666666667,438.5,0,0,0.04903078677309008,0.08095781071835804,-0.03420752565564424,,,1,1,0.17787913340935005,0.19954389965792474,-0.03420752565564424,0.18358038768529075,5.0,1,1,0.3899657924743444,0.4161915621436716,-0.03420752565564424,0.18358038768529075,5.0
2802,2011-11-01,2011-12-01,6,0.2,423.5,507.0,0.17947340139709833,435.975,504.4,463.5,0,0,0.03344120819848975,0.04638619201725998,-0.030204962243797196,,,1,1,0.1413160733549083,0.21898597626752966,-0.030204962243797196,0.11974110032362459,4.0,1,1,0.27184466019417475,0.33980582524271846,-0.030204962243797196,0.11974110032362459,4.0
2806,2011-02-01,2011-03-01,6,0.2,1390.0,1586.0,0.13172043010752688,1418.25,1505.2833333333333,1425.0,0,0,-0.042105263157894736,0.02456140350877193,-0.10947368421052632,,,0,0,-0.007017543859649123,0.02456140350877193,-0.10947368421052632,,,0,1,0.0456140350877193,0.08070175438596491,-0.10947368421052632,,
