cnt_60_above,n,rev5_drop3,rev10_drop5,down20_ge10,avg_ret5,avg_ret20
171,24,0.125,0.125,0.08333333333333333,0.034856898237643735,0.0746136728771772
172,22,0.13636363636363635,0.13636363636363635,0.09090909090909091,0.034653979866601625,0.07146293665774327
173,22,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.0310651064533399,0.07077148858096738
174,19,0.21052631578947367,0.2631578947368421,0.10526315789473684,0.023898420206213977,0.06282486640503877
175,18,0.2222222222222222,0.2777777777777778,0.05555555555555555,0.03547236467378485,0.07894590888932447
176,17,0.23529411764705882,0.29411764705882354,0.058823529411764705,0.0318457532811397,0.08552162498364414
177,15,0.26666666666666666,0.2,0.06666666666666667,0.014932870520121806,0.09323480438582524
178,14,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.008837640459503748,0.08567269805040194
179,11,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.007583296917804552,0.06801028535206827
180,6,0.0,0.0,0.0,0.03334612758764358,0.09732386449444676
181,6,0.5,0.3333333333333333,0.16666666666666666,0.009221229647830675,0.0776884959651737
182,6,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.012393589522880388,0.07724103679458973
183,6,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.027197935313463577,0.06874081440583614
184,4,0.0,0.0,0.0,0.0579133872451601,0.09070048830311442
185,4,0.25,0.0,0.0,0.03289053578690304,0.09407730987898175
186,4,0.0,0.0,0.0,0.019880838119294753,0.11116081681185619
187,4,0.0,0.5,0.0,0.002566376400615439,0.11248204988286739
188,2,0.5,0.5,0.0,-0.03349261218153177,0.11088793720891155
189,2,1.0,1.0,0.0,-0.0394528341226581,0.07449587466118607
