pattern,metric,day,count,share,cum_share
60v_core,days_to_plus5_60d,21,209,0.016102935511210417,0.7174666769396718
60v_core,days_to_plus5_60d,22,188,0.01448493720625626,0.731951614145928
60v_core,days_to_plus5_60d,23,188,0.01448493720625626,0.7464365513521842
60v_core,days_to_plus5_60d,24,165,0.012712843824639802,0.759149395176824
60v_core,days_to_plus5_60d,25,168,0.012943986439633254,0.7720933816164572
60v_core,days_to_plus5_60d,26,149,0.011480083211341398,0.7835734648277987
60v_core,days_to_plus5_60d,27,145,0.011171893058016797,0.7947453578858155
60v_core,days_to_plus5_60d,28,160,0.01232760613298405,0.8070729640187995
60v_core,days_to_plus5_60d,29,150,0.011557130749672549,0.818630094768472
60v_core,days_to_plus5_60d,30,125,0.00963094229139379,0.8282610370598659
60v_core,days_to_plus5_60d,31,118,0.009091609523075738,0.8373526465829416
60v_core,days_to_plus5_60d,32,109,0.008398181678095385,0.845750828261037
60v_core,days_to_plus5_60d,33,110,0.008475229216426535,0.8542260574774635
60v_core,days_to_plus5_60d,34,113,0.008706371831419986,0.8629324293088835
60v_core,days_to_plus5_60d,35,93,0.007165421064796979,0.8700978503736805
60v_core,days_to_plus5_60d,36,88,0.006780183373141228,0.8768780337468217
60v_core,days_to_plus5_60d,37,92,0.0070883735264658295,0.8839664072732876
60v_core,days_to_plus5_60d,38,92,0.0070883735264658295,0.8910547807997534
60v_core,days_to_plus5_60d,39,93,0.007165421064796979,0.8982202018645504
60v_core,days_to_plus5_60d,40,93,0.007165421064796979,0.9053856229293474
60v_core,days_to_plus5_60d,41,71,0.005470375221511673,0.9108559981508592
60v_core,days_to_plus5_60d,42,55,0.004237614608213268,0.9150936127590724
60v_core,days_to_plus5_60d,43,70,0.005393327683180522,0.920486940442253
60v_core,days_to_plus5_60d,44,70,0.005393327683180522,0.9258802681254336
60v_core,days_to_plus5_60d,45,59,0.004545804761537869,0.9304260728869714
60v_core,days_to_plus5_60d,46,74,0.0057015178365051235,0.9361275907234765
60v_core,days_to_plus5_60d,47,77,0.005932660451498575,0.942060251174975
60v_core,days_to_plus5_60d,48,78,0.006009707989829725,0.9480699591648047
60v_core,days_to_plus5_60d,49,79,0.006086755528160875,0.9541567146929656
60v_core,days_to_plus5_60d,50,73,0.005624470298173974,0.9597811849911395
60v_core,days_to_plus5_60d,51,64,0.004931042453193621,0.9647122274443332
60v_core,days_to_plus5_60d,52,45,0.0034671392249017645,0.9681793666692349
60v_core,days_to_plus5_60d,53,56,0.004314662146544418,0.9724940288157793
60v_core,days_to_plus5_60d,54,53,0.004083519531550967,0.9765775483473302
60v_core,days_to_plus5_60d,55,54,0.004160567069882117,0.9807381154172123
60v_core,days_to_plus5_60d,56,59,0.004545804761537869,0.9852839201787502
60v_core,days_to_plus5_60d,57,39,0.0030048539949148623,0.9882887741736651
60v_core,days_to_plus5_60d,58,52,0.0040064719932198165,0.9922952461668849
60v_core,days_to_plus5_60d,59,46,0.0035441867632329148,0.9958394329301178
60v_core,days_to_plus5_60d,60,54,0.004160567069882117,0.9999999999999999
60v_strong,days_to_high_break_60d,1,385,0.3561517113783534,0.3561517113783534
60v_strong,days_to_high_break_60d,2,168,0.15541165587419056,0.5115633672525439
60v_strong,days_to_high_break_60d,3,103,0.09528214616096208,0.606845513413506
60v_strong,days_to_high_break_60d,4,58,0.05365402405180388,0.6604995374653099
60v_strong,days_to_high_break_60d,5,37,0.034227567067530065,0.6947271045328399
