cnt_60_above,n,rev5_drop3,rev10_drop5,down20_ge10,avg_ret5,avg_ret20
213,50,0.62,0.58,0.42,0.006119140139893304,0.014497962953746104
214,47,0.5106382978723404,0.46808510638297873,0.40425531914893614,0.011168756730022862,0.03298099304448565
215,44,0.5909090909090909,0.5681818181818182,0.4772727272727273,-0.0030003326739465775,0.007495465351489647
216,43,0.5813953488372093,0.5348837209302325,0.4418604651162791,0.0001220415493362345,0.019796762290091405
217,43,0.5348837209302325,0.5116279069767442,0.3953488372093023,0.004262240833269413,0.030722828434378315
218,43,0.4883720930232558,0.5348837209302325,0.3953488372093023,-0.0008277216572204095,0.028624128746953283
219,42,0.5238095238095238,0.5714285714285714,0.40476190476190477,-0.004452050991319202,0.030640950836300425
220,40,0.55,0.525,0.375,-0.00024982651456923464,0.03753871418714956
221,40,0.45,0.475,0.35,0.0013751370992791223,0.03806990206641263
222,37,0.4864864864864865,0.5405405405405406,0.32432432432432434,-0.0009029095319886886,0.05026680247672003
223,37,0.4594594594594595,0.4594594594594595,0.32432432432432434,0.003687299678777873,0.06243875623813567
224,35,0.5428571428571428,0.42857142857142855,0.37142857142857144,-0.003577549001786906,0.0603420215184457
225,34,0.5,0.5,0.35294117647058826,0.0015011737078039881,0.07989971269500536
226,33,0.5151515151515151,0.5757575757575758,0.30303030303030304,0.0045219872857201245,0.09190313917813789
227,31,0.41935483870967744,0.4838709677419355,0.3225806451612903,-0.002466719590543024,0.10133255484845559
228,31,0.5806451612903226,0.5483870967741935,0.3548387096774194,-0.0028851768698794607,0.08653048513495429
229,30,0.4666666666666667,0.4,0.23333333333333334,0.01245747266430366,0.08696573305502596
230,29,0.6206896551724138,0.5172413793103449,0.3103448275862069,0.0027688430894531784,0.07920335531991333
231,28,0.5714285714285714,0.4642857142857143,0.32142857142857145,0.013655700240857707,0.08777263018999674
232,26,0.5,0.38461538461538464,0.2692307692307692,0.031201298294225258,0.09879655338733026
233,26,0.5,0.38461538461538464,0.23076923076923078,0.03233524549817966,0.10709861081303777
234,26,0.46153846153846156,0.34615384615384615,0.2692307692307692,0.030763697728058086,0.09628906212669043
235,26,0.4230769230769231,0.3076923076923077,0.23076923076923078,0.033234974215112845,0.11419610915779227
236,24,0.2916666666666667,0.2916666666666667,0.20833333333333334,0.02950939135523753,0.11660871452792503
237,22,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.027613899711290177,0.12471277872536811
238,22,0.45454545454545453,0.45454545454545453,0.22727272727272727,0.0342228023121721,0.12409890904407317
239,21,0.47619047619047616,0.42857142857142855,0.3333333333333333,0.04263685035359203,0.13453184188000356
240,20,0.4,0.45,0.2,0.05326856412572589,0.11483298263576802
241,20,0.4,0.3,0.2,0.05911102633453308,0.11350410827785398
242,19,0.47368421052631576,0.3157894736842105,0.21052631578947367,0.05110216952616775,0.10474243518753452
243,19,0.5263157894736842,0.42105263157894735,0.2631578947368421,0.02506703270935497,0.09178747365305742
244,19,0.47368421052631576,0.5789473684210527,0.21052631578947367,0.01500690290657831,0.08353411201832707
245,19,0.631578947368421,0.5789473684210527,0.42105263157894735,0.0020859319677586246,0.07883567386610393
