rule,n,hit10,lift,avg_ret20,win20
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.58 & pturndown>=0.62,40480,0.5208498023715415,2.1974160647467786,-0.0001000047540641172,0.5682806324110672
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.60 & pturndown>=0.58,34372,0.5208018154311649,2.1972136123829658,0.0058721408269474,0.5812870941463982
cnt60>=60 & pdown>=0.58 & pturndown>=0.50,43238,0.5199592950645265,2.193659098624685,0.004602575082725943,0.5769693325315695
cnt60>=40 & pdown>=0.55 & pturndown>=0.62,70722,0.5177172591272872,2.184200161011966,-0.0012507829509017861,0.564067758264755
pdown>=0.60 & pturndown>=0.58,371446,0.5168961302585032,2.180735895960357,0.020298613512180617,0.6022059734120169
cnt60>=50 & pdown>=0.58 & pturndown>=0.58,54524,0.5165431736483017,2.179246805397427,0.0026005771197815273,0.5726652483310102
cnt60>=40 & pdown>=0.52 & pturndown>=0.62,71903,0.516195429954244,2.1777797076347754,-0.0017909874484995467,0.562271393405004
cnt60>=40 & pdown>=0.58 & pturndown>=0.60,69401,0.5149637613290875,2.1725834141715925,0.0022241223950199823,0.5720234578752468
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.60 & pturndown>=0.55,35396,0.5130805740761668,2.16463842522535,0.005600278546064898,0.5789072211549328
pdown>=0.60 & pturndown>=0.55,380550,0.5126737616607542,2.1629221221128296,0.020126353034988238,0.6019156484036263
cnt60>=50 & pdown>=0.58 & pturndown>=0.55,56450,0.5112311780336581,2.1568359982005463,0.0029582261766722155,0.5728786536758194
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.55 & pturndown>=0.62,46735,0.5104739488605969,2.153641319922848,-0.0037567760496056563,0.5575264790841982
pdown>=0.60 & pturndown>=0.50,385164,0.5102242161780436,2.152587721349831,0.02005690355423416,0.6017644431982221
pdown>=0.58 & pturndown>=0.62,417513,0.5092368381343815,2.148422066749901,0.014809102111065448,0.585097949045898
cnt60>=50 & pdown>=0.58 & pturndown>=0.50,57384,0.5088526418513871,2.146801178961476,0.003262246486154213,0.5736442213857521
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.52 & pturndown>=0.62,47503,0.508725764688546,2.14626589620893,-0.004478415691544466,0.5553754499715807
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.60 & pturndown>=0.50,35910,0.5086883876357561,2.1461082059575762,0.005361006991268356,0.5773043720412141
cnt60>=40 & pdown>=0.58 & pturndown>=0.58,73369,0.5071760552822037,2.1397278187637996,0.002223918441894182,0.5706633591843967
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.58 & pturndown>=0.60,45608,0.5055253464304508,2.132763634208971,-0.0004656068203856982,0.5641992632871426
cnt60>=60 & pdown>=0.55 & pturndown>=0.60,51930,0.5053918736761025,2.1322005252795337,-0.002161303157462719,0.5565183901405738
cnt60>=40 & pdown>=0.58 & pturndown>=0.55,76209,0.5010300620661602,2.1137984545492676,0.0025508205104328376,0.5706806282722513
cnt60>=60 & pdown>=0.52 & pturndown>=0.60,54648,0.4997804128238911,2.1085263025627303,-0.003988122484646921,0.5509625237886108
cnt60>=40 & pdown>=0.58 & pturndown>=0.50,77590,0.498311638097693,2.102329680879961,0.002855524418858016,0.5712849594019848
pdown>=0.55 & pturndown>=0.62,472472,0.4965521766369224,2.0949066793513125,0.010492593499049829,0.5713396772718806
cnt60>=50 & pdown>=0.55 & pturndown>=0.60,68024,0.49619252028695754,2.093389323219847,-0.0038310000230532258,0.5537604374926497
pdown>=0.52 & pturndown>=0.62,482020,0.4953051740591677,2.089645693392093,0.009825296083628083,0.5690324052943861
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.58 & pturndown>=0.58,48513,0.49514563106796117,2.088972596598548,-0.0008513502034517682,0.5608187496135056
pdown>=0.58 & pturndown>=0.60,471813,0.4923221700122718,2.0770606813905377,0.01372516089841445,0.5818915544929877
cnt60>=40 & pdown>=0.55 & pturndown>=0.60,90407,0.4899067550079087,2.0668702738883153,-0.003976281651208136,0.552147510701605
cnt60>=60 & pdown>=0.55 & pturndown>=0.58,60340,0.48738813390785546,2.0562444496275254,-0.0031704536575507237,0.5503314550878357
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.58 & pturndown>=0.55,50788,0.48568559502244624,2.049061599061739,-0.0007377507270669288,0.5593053477199338
pdown>=0.58 & pturndown>=0.58,502969,0.4828607727315202,2.0371439409309833,0.013356526605021742,0.5807614385777254
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.58 & pturndown>=0.50,52010,0.4799846183426264,2.0250097175328547,-0.0007321067268050836,0.5579888482984041
pdown>=0.58 & pturndown>=0.55,525134,0.47608800801319284,2.00857028701571,0.013192645602530135,0.5805299218866041
pdown>=0.58 & pturndown>=0.50,537294,0.472050683610835,1.991537197130794,0.013154972316725008,0.5803340443034912
pdown>=0.55 & pturndown>=0.60,591005,0.4695205624317899,1.9808628551241827,0.007428685066858218,0.5614030338152808
pdown>=0.52 & pturndown>=0.60,623113,0.46519652133722134,1.9626201346267056,0.005792724595349634,0.5555043788205349
pdown>=0.55 & pturndown>=0.58,689531,0.4500841876579878,1.8988626278534324,0.006137413699393859,0.5569205735492675
pdown>=0.55 & pturndown>=0.55,776780,0.4345014032287134,1.8331203338514706,0.005824550104514288,0.5561767810705734
pdown>=0.55 & pturndown>=0.50,823024,0.42613459631796885,1.7978215666587176,0.0059669682599616065,0.5566326133867299
